Player,Age,Team,Pos,MIN,Usage,"",PSA,"","AST%","","AST:Usg","","TOV%",""
"Tony Battie",27.7,CLE,Big,951,37,"14.6%",20,94.0,41,"6.0%",51,0.41,72,"12.9%"
"Shane Battier",25.1,MEM,Wing,1919,14,"14.4%",87,110.3,16,"8.6%",37,0.60,95,"8.9%"
"Lonny Baxter",24.7,CHI,Big,124,57,"16.5%",71,107.7,42,"6.0%",35,0.36,5,"22.2%"
"Lonny Baxter",24.7,TOR,Big,478,53,"16.2%",33,98.7,16,"3.9%",11,0.24,60,"14.1%"
"Lonny Baxter",24.7,WAS,Big,115,14,"12.1%",55,103.3,45,"6.5%",70,0.53,75,"12.7%"
"Raja Bell",27.1,UTA,Wing,1987,74,"22.1%",42,99.2,36,"10.8%",13,0.49,69,"11.7%"
"Jonathan Bender",22.7,IND,Big,248,96,"25.8%",93,115.9,53,"7.3%",18,0.28,4,"22.6%"
"Travis Best",31.3,DAL,Point,727,5,"15.6%",27,91.2,5,"20.5%",50,1.31,74,"12.5%"
"Mike Bibby",25.4,SAC,Point,2977,76,"23.6%",95,113.0,24,"24.0%",5,1.02,90,"11.2%"
"Chauncey Billups",27.0,DET,Combo,2756,82,"25.5%",87,110.7,93,"29.0%",78,1.14,64,"12.5%"
"Steve Blake",23.6,WAS,Point,1290,32,"19.4%",77,104.8,34,"25.4%",48,1.31,6,"20.9%"
"Corie Blount",34.8,CHI,Big,728,32,"14.1%",28,97.1,72,"9.2%",81,0.65,51,"14.6%"
"Corie Blount",34.8,TOR,Big,290,1,"8.6%",4,80.0,39,"5.6%",83,0.66,63,"13.9%"
"Mark Blount",27.9,BOS,Big,2398,34,"14.5%",99,120.3,30,"5.2%",34,0.36,10,"19.7%"
"Keith Bogans",23.4,ORL,Wing,1736,12,"13.9%",50,100.8,15,"8.5%",42,0.61,34,"13.9%"
"Calvin Booth",27.4,OKC,Big,1188,22,"13.2%",53,103.0,12,"3.7%",17,0.28,69,"13.2%"
"Carlos Boozer",21.9,CLE,Big,2586,73,"18.2%",91,113.8,78,"9.8%",71,0.54,76,"12.6%"
"Curtis Borchardt",23.1,UTA,Big,248,43,"15.2%",16,91.9,77,"9.7%",80,0.64,3,"22.6%"
"Chris Bosh",19.6,TOR,Big,2502,63,"17.0%",50,102.4,37,"5.5%",26,0.32,83,"12.0%"
"Bruce Bowen",32.3,SAS,Wing,2616,2,"11.1%",54,102.0,4,"6.8%",41,0.61,24,"14.5%"
"Ryan Bowen",27.9,DEN,Forward,322,0,"7.7%",0,70.8,20,"7.5%",96,0.97,98,"9.0%"
"Earl Boykins",27.4,DEN,Point,1757,82,"24.2%",45,100.5,48,"27.7%",16,1.15,97,"9.8%"
"Shawn Bradley",31.6,DAL,Big,732,15,"12.1%",45,101.5,14,"3.8%",24,0.31,99,"6.6%"
"Torraye Braggs",27.4,HOU,Big,122,50,"15.8%",38,100.0,66,"8.3%",69,0.53,0,"26.5%"
"Elton Brand",24.6,LAC,Big,2670,91,"22.7%",91,113.7,95,"15.8%",86,0.69,61,"13.9%"
"J.R. Bremer",23.1,CLE,Combo,386,29,"18.1%",0,77.0,29,"15.6%",36,0.86,67,"12.1%"
"Jamison Brewer",22.9,IND,Combo,149,13,"15.7%",27,93.8,47,"19.1%",87,1.21,0,"21.1%"
"Devin Brown",24.8,SAS,Combo,515,33,"18.8%",44,98.4,11,"9.2%",7,0.49,33,"15.0%"
"Kedrick Brown",22.6,BOS,Wing,398,8,"12.7%",72,107.0,28,"9.7%",65,0.77,75,"11.2%"
"Kedrick Brown",22.6,CLE,Combo,547,4,"13.2%",89,111.3,16,"11.2%",33,0.85,89,"10.6%"
"Kwame Brown",21.6,WAS,Big,2191,64,"17.1%",75,108.4,69,"8.7%",64,0.51,29,"16.4%"
"P.J. Brown",34.0,NOP,Big,2751,30,"14.0%",62,105.2,76,"9.6%",86,0.68,83,"12.0%"
"Rick Brunson",31.3,CHI,Point,354,40,"19.7%",87,106.1,76,"33.0%",87,1.67,15,"18.6%"
"Kobe Bryant",25.1,LAL,Wing,2442,96,"29.1%",90,111.5,93,"23.8%",74,0.82,77,"10.7%"
"Greg Buckner",27.1,PHI,Wing,646,21,"14.9%",17,89.7,47,"11.5%",66,0.77,15,"15.7%"
"Caron Butler",23.6,MIA,Wing,2000,47,"18.0%",15,89.1,32,"10.3%",29,0.58,71,"11.4%"
"Mitchell Butler",32.8,WAS,Wing,521,5,"12.4%",41,99.2,22,"9.3%",64,0.75,28,"14.2%"
"Rasual Butler",24.4,MIA,Wing,626,40,"17.7%",93,116.7,2,"6.5%",3,0.37,80,"10.5%"
"Zarko Cabarkapa",22.4,PHX,Forward,559,50,"20.4%",13,91.9,65,"11.6%",61,0.57,4,"20.8%"
"Marcus Camby",29.6,DEN,Big,2162,29,"13.8%",48,102.0,73,"9.3%",85,0.67,57,"14.4%"
"Elden Campbell",35.2,DET,Big,886,87,"21.4%",29,97.6,70,"9.0%",52,0.42,38,"15.8%"
"Brian Cardinal",26.4,GSW,Forward,1603,39,"18.0%",100,124.7,52,"10.6%",67,0.59,70,"13.2%"
"Vince Carter",26.7,TOR,Wing,2781,99,"32.7%",48,100.3,96,"26.1%",71,0.80,68,"11.7%"
"Sam Cassell",33.9,MIN,Point,2840,100,"30.1%",97,113.6,79,"35.3%",21,1.17,82,"12.1%"
"Kelvin Cato",29.1,HOU,Big,1744,21,"13.0%",32,98.6,49,"6.9%",70,0.53,24,"16.9%"
"Tyson Chandler",21.0,CHI,Big,745,30,"14.1%",38,100.0,33,"5.4%",40,0.38,35,"15.9%"
"Calbert Cheaney",32.2,GSW,Wing,2042,22,"15.1%",39,99.0,40,"11.2%",59,0.74,50,"12.8%"
"Doug Christie",33.4,SAC,Wing,2765,29,"15.9%",82,109.1,78,"17.8%",93,1.12,9,"16.0%"
"Speedy Claxton",25.4,GSW,Point,1576,77,"24.1%",65,103.1,53,"28.3%",23,1.18,79,"12.3%"
"Derrick Coleman",36.3,PHI,Big,842,75,"18.6%",21,94.1,76,"9.5%",67,0.51,22,"17.1%"
"Bimbo Coles",35.5,MIA,Combo,149,9,"14.5%",2,80.0,24,"15.0%",64,1.03,13,"18.0%"
"Jason Collier",26.1,ATL,Big,544,70,"17.6%",84,110.8,25,"5.1%",20,0.29,53,"14.5%"
"Jarron Collins",24.9,UTA,Big,1689,20,"12.7%",97,117.0,60,"7.8%",78,0.61,30,"16.4%"
"Jason Collins",24.9,BKN,Big,2205,17,"12.4%",35,98.7,84,"10.5%",96,0.85,27,"16.7%"
"Brian Cook",22.9,LAL,Big,393,45,"15.2%",63,105.2,68,"8.5%",73,0.56,91,"10.5%"
"Omar Cook",21.7,POR,Point,134,6,"15.7%",0,53.8,56,"29.6%",97,1.88,3,"22.0%"
"Chris Crawford",28.4,ATL,Forward,1150,46,"19.3%",78,108.9,15,"6.8%",13,0.35,91,"10.9%"
"Jamal Crawford",23.6,CHI,Combo,2770,89,"26.6%",42,97.8,84,"26.9%",60,1.01,73,"11.6%"
"Austin Croshere",28.5,IND,Forward,950,35,"17.8%",89,110.4,37,"9.1%",39,0.51,57,"13.9%"
"Eddy Curry",20.9,CHI,Big,2131,91,"22.4%",69,106.6,44,"6.2%",17,0.28,25,"16.9%"
"Michael Curry",35.1,TOR,Combo,1221,0,"11.1%",18,91.5,4,"8.3%",24,0.75,11,"18.0%"
"Samuel Dalembert",23.4,PHI,Big,2172,16,"12.3%",89,112.8,1,"1.7%",2,0.14,50,"14.7%"
"Erick Dampier",28.3,GSW,Big,2401,59,"16.6%",92,114.6,20,"4.4%",14,0.26,45,"15.1%"
"Antonio Daniels",28.6,OKC,Point,1486,42,"19.8%",100,119.3,65,"32.2%",77,1.63,98,"9.6%"
"Marquis Daniels",22.8,DAL,Combo,971,49,"20.5%",71,106.2,33,"16.2%",27,0.79,98,"8.6%"
"Antonio Davis",35.0,CHI,Big,2029,47,"15.5%",18,92.9,83,"10.2%",84,0.66,70,"13.1%"
"Antonio Davis",35.0,TOR,Big,543,35,"14.6%",13,90.2,27,"5.1%",31,0.35,67,"13.3%"
"Baron Davis",24.5,NOP,Combo,2685,98,"32.2%",51,99.2,98,"36.3%",76,1.13,80,"11.3%"
"Dale Davis",34.6,POR,Big,1672,2,"10.3%",38,100.0,48,"6.7%",83,0.65,90,"10.7%"
"Ricky Davis",24.1,BOS,Wing,1648,76,"22.4%",88,110.3,76,"16.4%",58,0.73,25,"14.5%"
"Ricky Davis",24.1,CLE,Combo,793,69,"23.4%",49,99.1,62,"23.0%",58,0.98,29,"16.2%"
"Andrew DeClercq",30.7,ORL,Big,1208,2,"10.3%",61,105.0,34,"5.4%",68,0.53,9,"20.0%"
"Tony Delk",29.7,DAL,Combo,487,27,"18.0%",53,100.0,9,"8.8%",9,0.49,100,"8.5%"
"Boris Diaw",21.5,ATL,Big,1848,19,"12.5%",22,94.6,94,"15.1%",99,1.21,2,"24.3%"
"Dan Dickau",25.1,POR,Combo,130,51,"21.4%",7,84.4,69,"23.6%",71,1.11,2,"19.5%"
"DeSagana Diop",21.7,CLE,Big,656,8,"11.2%",4,81.2,61,"7.8%",87,0.70,53,"14.5%"
"Vlade Divac",35.7,SAC,Big,2310,86,"21.2%",47,101.8,100,"27.3%",99,1.29,35,"15.9%"
"Juan Dixon",25.0,WAS,Combo,1397,73,"24.3%",24,93.7,42,"17.8%",20,0.73,56,"13.2%"
"Michael Doleac",26.3,DEN,Big,318,24,"13.3%",20,93.7,54,"7.3%",72,0.55,91,"10.5%"
"Michael Doleac",26.3,NYK,Big,656,63,"17.0%",24,94.8,68,"8.5%",63,0.50,62,"13.9%"
"Keyon Dooling",23.4,LAC,Combo,1090,40,"19.1%",20,92.1,49,"19.3%",62,1.01,51,"13.6%"
"Predrag Drobnjak",28.0,LAC,Big,928,84,"20.6%",14,91.0,65,"8.2%",48,0.40,89,"11.0%"
"Tim Duncan",27.5,SAS,Big,2516,100,"28.9%",71,107.6,96,"17.0%",76,0.59,84,"11.6%"
"Mike Dunleavy",23.1,GSW,Wing,2311,51,"18.2%",85,109.9,75,"16.1%",83,0.89,17,"15.3%"
"Ronald Dupree",22.7,CHI,Wing,844,45,"17.9%",13,88.3,35,"10.5%",33,0.59,37,"13.7%"
"Howard Eisley",30.9,NYK,Point,723,53,"20.9%",73,103.8,82,"36.0%",94,1.72,45,"15.2%"
"Howard Eisley",30.9,PHX,Point,717,73,"22.9%",19,89.9,35,"25.9%",15,1.13,58,"13.5%"
"Francisco Elson",27.6,DEN,Big,813,12,"11.6%",52,102.6,43,"6.1%",68,0.52,39,"15.7%"
"Melvin Ely",25.5,LAC,Big,470,61,"16.7%",19,93.0,50,"7.0%",53,0.42,93,"10.4%"
"Reggie Evans",23.4,OKC,Big,1235,4,"10.5%",15,91.2,17,"4.2%",48,0.40,7,"21.7%"
"Michael Finley",30.6,DAL,Wing,2777,56,"20.0%",76,108.1,49,"11.7%",34,0.59,98,"6.6%"
"Derek Fisher",29.2,LAL,Combo,1682,36,"18.9%",16,90.4,40,"17.6%",51,0.93,91,"10.3%"
"Marcus Fizer",25.2,CHI,Big,718,95,"25.5%",11,88.8,82,"10.2%",49,0.40,80,"12.0%"
"T.J. Ford",20.6,MIL,Point,1479,68,"22.2%",18,89.9,92,"37.6%",89,1.70,13,"19.0%"
"Danny Fortson",27.5,DAL,Big,608,34,"14.4%",98,119.9,2,"2.0%",2,0.14,15,"17.9%"
"Jeff Foster",26.7,IND,Big,1940,6,"10.7%",94,116.0,27,"5.1%",60,0.48,71,"13.0%"
"Tremaine Fowlkes",27.5,DET,Wing,227,7,"12.6%",12,87.2,37,"10.8%",79,0.86,16,"15.4%"
"Rick Fox",34.2,LAL,Wing,846,15,"14.5%",21,91.5,75,"16.1%",92,1.11,7,"17.5%"
"Adonal Foyle",28.6,GSW,Big,564,19,"12.7%",25,95.1,20,"4.5%",33,0.36,77,"12.5%"
"Richie Frahm",26.2,OKC,Wing,391,10,"12.9%",99,128.7,6,"7.1%",25,0.55,100,"4.5%"
"Steve Francis",26.6,HOU,Point,3192,92,"26.1%",52,101.6,47,"27.7%",8,1.06,26,"16.7%"
"Dan Gadzuric",25.7,MIL,Big,1205,28,"13.7%",75,108.1,11,"3.5%",13,0.26,81,"12.0%"
"Reece Gaines",22.8,ORL,Wing,298,26,"15.4%",2,66.7,79,"18.0%",95,1.17,6,"17.7%"
"Kevin Garnett",27.4,MIN,Big,3228,99,"28.5%",79,109.4,99,"23.3%",94,0.82,89,"10.8%"
"Pau Gasol",23.3,MEM,Big,2438,96,"25.7%",77,109.0,94,"14.4%",73,0.56,66,"13.4%"
